名前,種別,得意練習,役割,金特_野手時,金特_投手時,金特依存,上限UP,覚醒,イベント,URL
蔦枝心音,彼女,,ガード,読心術(確定)＋逆襲(確定),みなぎる活力(確定)＋超尻上がり(確定),-,捕球+6¶スタミナ+8,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/387914
物茂渡,野手+投手,打撃&変化球,バウンサー,安打製造機(確定)＋一発逆転王(確定),闘魂(確定)＋ドクターK(確定),-,コントロール+4,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/387910
時任幽平,野手+投手,走塁&スタミナ,ガード,ストレートキラー(確定)＋代打の神様(確定),クロスキャノン(確定)＋一徹(確定),-,スタミナ+6,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/387908
泉谷未来,投手,スタミナ&変化球,ガード,洗礼の一撃(確定),必殺火消し人(確定)＋精密機械(確定),-,コントロール+4,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/387906
[バレンタイン？]本場あんこ,野手+投手,肩力&スタミナ,スナイパー,走力バースト(確定)＋メッタ打ち(確定),走者釘付(確定)＋形勢逆転(確定),-,パワー+6¶スタミナ+6,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/386439
[ダークネクロ]獏良了,投手,球速,バウンサー,一球入魂(確定),金縛り(確定)＋形勢逆転(不確定)¶必殺火消し人(確定),-,スタミナ+6,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/384491
[トゥーン・D]ペガサス,野手,肩力&打撃,スナイパー,読心術(確定)＋心眼(確定)球界の頭脳(確定)＋心眼(確定)¶司令塔(確定),内無双(確定),-,ミート+4¶肩力+2,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/384490
[ラーの翼神竜]マリク,野手,走塁&打撃,レンジャー,精神的支柱(確定)＋大番狂わせ(確定)¶孤軍奮闘(確定),闘魂(確定),-,ミート+2¶走力+4,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/384489
[南極です！]ワーちゃん,野手,メンタル&肩力,ガード,ヒートアップ(確定)＋明鏡止水(確定),みなぎる活力(確定),-,守備力+2¶捕球+4,［SR］やる気効果UP50％¶［PSR］タッグボーナス40％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/382207
[南極だよ！]パーちゃん,投手+野手,コントロール&筋力,レンジャー,超ラッキーボーイ(確定)＋切り込み隊長(確定)¶洗礼の一撃(確定)＋左キラー(野手)(確定),勝利の星(確定)¶金縛り(確定),-,スタミナ+4¶パワー+4,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/382206
美一式高伊,投手,スタミナ,ガード,アーチスト(確定)＋切り込み隊長(確定),鉄腕(確定)＋KBKカーブ(不確定)¶鉄腕(確定)＋変化球プライド(確定),KBKカーブ : 不明,コントロール+6,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/381720
カグヤ,投手+野手,スタミナ&走塁,バウンサー,情熱エール(確定)＋昇り龍(確定),超尻上がり(確定)＋勝利の星(確定),-,スタミナ+8¶走力+8,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/381102
高原曲,投手+野手,変化球&肩力,レンジャー,火事場の馬鹿力(確定)＋芸術的流し打ち(確定),強心臓(確定)＋原点投球(確定),-,コントロール+4¶肩力+4,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/381101
[サンタ]志藤玲美,野手,打撃&走塁,バウンサー,ストライク送球(確定)＋高速レーザー(確定),ジャストフィット(確定),-,ミート+2¶走力+2,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/379864
[最終兵器]虹谷誠,投手,変化球&球速,レンジャー,アーチスト(確定)＋伝説の引っ張り屋(確定)¶安打製造機(確定)＋芸術的流し打ち(確定)¶一球入魂(確定),至高のスターター(確定)¶驚異の切れ味(確定)＋変幻自在(確定)¶先手必奪(確定),-,球速+1¶コントロール+4(SR覚醒時),［SR］コントロール上限UP4¶［PSR］タッグボーナス40％,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/379848
[サンタ]茂古葉萌子,野手,メンタル&打撃,ガード,高速レーザー(確定)＋洗礼の一撃(確定),アームブレイカー(確定),-,ミート+6,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/377695
戸草鏡,野手,打撃&守備,バウンサー,つるべ打ち(確定)＋逆襲(確定),変幻自在(確定),-,ミート+2¶守備力+4,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/376815
天宮果也乃,野手,メンタル&守備,ガード,スイープ(確定)＋帰巣本能(確定),先手必奪(確定),-,肩力+4¶捕球+2,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/376814
敷上マニィ,野手,筋力&肩力,ガード,切磋琢磨(確定)＋看破(確定),怪物球威(確定),-,パワー+2¶肩力+4,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/376813
天宮コノハ,相棒,,ガード,超ラッキーボーイ(確定)＋金剛(確定),復活(確定)＋勝利の星(確定),-,パワー+4¶コントロール+4,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/376812
[ワールドクラス]十六夜瑠菜,投手,コントロール&球速,バウンサー,情熱エール(確定),速球プライド(不確定)＋強心臓(確定)¶速球プライド(不確定)＋ディレイドアーム(確定),-,コントロール+2¶スタミナ+2,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/372708
[投手]イチロー,投手+野手,球速&肩力,レンジャー,高速レーザー(確定)＋広角砲(確定)¶安打製造機(確定),イチシーム(不確定)＋ハイスピンジャイロ(確定)¶精密機械(確定)＋ハイスピンジャイロ(確定)¶一徹(確定),イチシーム : 球速,コントロール+8¶ミート+6,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/372217
怪しいもの屋の店主,野手,守備&打撃,バウンサー,一発逆転王(確定)＋広角砲(確定),強心臓(確定)＋アーチスト(確定),-,走力+2¶肩力+4,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/369887
[秘密兵器]虹谷彩理,投手,コントロール,スナイパー,切磋琢磨(確定)＋一球入魂(確定)¶切磋琢磨(確定)＋孤軍奮闘(確定),形勢逆転(確定)＋先手必奪(確定)¶形勢逆転(確定)＋鉄仮面(確定),-,コントロール+4¶スタミナ+2,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/369886
[はろゐん]千代姫,野手,守備&肩力,スナイパー,読心術(確定)＋ホームランボール(不確定),精密機械(確定)＋勝利の星(不確定),-,ミート+2¶捕球+2,なし,前イベ,https://xn--odkm0eg.gamewith.jp/article/show/369738
真開彩葉,野手+投手,筋力&スタミナ,ガード,アーチスト(確定)＋大番狂わせ(確定),不屈の魂(確定)＋怪童(確定),-,コントロール+4¶パワー+4,なし,後イベ,https://xn--odkm0eg.gamewith.jp/article/show/367707
